School Name,School Type,Regents Exam_math,Mean Score_math,Regents Exam_english,Mean Score_english,Latitude,Longitude,Average Score (SAT Math),Average Score (SAT Reading),Average Score (SAT Writing),Percent White,Percent Black,Percent Hispanic,Percent Asian,Average Score,Total Score,Performance Above/Below Average (%),% Students with Disabilities,% English Language Learners,% Poverty,Economic Need Index
FRANK SINATRA SCHOOL OF THE ARTS HIGH SCHOOL,General Academic,Common Core Algebra,1.2830329015059512,English,2.0548210188023646,40.75653,-73.92514,536.0,543.0,543.0,38.7%,13.6%,33.4%,10.5%,2.08246901435022,10.436537934658535,108.0,0.098,0.004,42.8%,30.2%
INFORMATION TECHNOLOGY HIGH SCHOOL,General Academic,Common Core Algebra,-0.02975913071607977,English,0.19343185286880904,40.74792,-73.94657,443.0,420.0,411.0,9.4%,14.9%,56.3%,18.2%,-0.019817602322857196,5.1600701198298715,3.0,0.178,0.079,77.9%,61.4%
NEWCOMERS HIGH SCHOOL,General Academic,Common Core Algebra,2.0861527329829594,English,1.4211566218888143,40.75138,-73.93745,490.0,374.0,381.0,6.2%,2.4%,54.6%,36.7%,-0.1950081537122803,8.328516201159493,66.0,0.011,0.732,93.2%,Above 95%
ACADEMY OF AMERICAN STUDIES,General Academic,Common Core Algebra,0.6034699671792536,English,-0.11019900398560012,40.7513,-73.93742,495.0,482.0,479.0,28.3%,7.3%,34.3%,29.3%,1.0796541339831773,6.589140097176831,31.0,0.098,0.027,71.1%,43.4%
CSI HIGH SCHOOL FOR INTERNATIONAL STUDIES,General Academic,Common Core Algebra,1.4065897986562619,English,1.7643915035503202,40.58202,-74.15785,477.0,468.0,464.0,55.6%,8.8%,19.8%,11.2%,0.7957246196623883,8.98292092186897,79.0,0.158,0.006,40.2%,27.2%
NEW DORP HIGH SCHOOL,General Academic,Common Core Algebra,0.0937977664342287,English,0.41785466010902517,40.56918,-74.1073,454.0,446.0,444.0,51.8%,12.1%,27.8%,7.5%,0.403056142410233,5.930923568953487,18.0,0.205,0.045,57.9%,47.4%
PORT RICHMOND HIGH SCHOOL,General Academic,Common Core Algebra,-0.21509447644154356,English,-0.34782315282818116,40.63384,-74.14211,432.0,427.0,425.0,21.7%,27.9%,42.8%,7.0%,0.040592932639012834,4.493890303369288,-10.0,0.26,0.057,70.5%,60.6%
CURTIS HIGH SCHOOL,General Academic,Common Core Algebra,-0.2768729250166978,English,0.04821709524278784,40.64474,-74.08134,453.0,458.0,444.0,17.7%,38.4%,36.0%,7.1%,0.46950773086829006,5.25706690109438,5.0,0.196,0.055,74.2%,61.2%
TOTTENVILLE HIGH SCHOOL,General Academic,Common Core Algebra,0.7424714764733498,English,0.9327069826012856,40.52823,-74.19215,494.0,476.0,476.0,79.9%,1.8%,11.8%,5.1%,1.0192435990213073,7.7106370580959425,54.0,0.171,0.008,30.2%,25.2%
SUSAN E. WAGNER HIGH SCHOOL,General Academic,Common Core Algebra,-0.4622082707421616,English,0.906304299396554,40.59865,-74.1231,496.0,490.0,487.0,47.7%,10.9%,27.0%,13.4%,1.1823520434183565,6.642663072072748,32.0,0.203,0.023,54.0%,39.6%
STATEN ISLAND TECHNICAL HIGH SCHOOL,General Academic,Common Core Algebra,3.414389377348782,English,2.5300693164875265,40.56791,-74.11536,711.0,660.0,670.0,52.2%,1.0%,5.2%,41.1%,4.613670429252575,15.574344123088881,210.0,0.011,0.0,37.2%,24.9%
ACADEMY FOR ENVIRONMENTAL LEADERSHIP,General Academic,Common Core Algebra,-1.1263265929250716,English,-0.49303791045420237,40.69696,-73.91082,365.0,366.0,348.0,1.5%,19.4%,77.1%,1.8%,-1.1978230340793228,2.199027462541403,-56.0,,,,
