School Name,School Type,Regents Exam_math,Mean Score_math,Regents Exam_english,Mean Score_english,Latitude,Longitude,Average Score (SAT Math),Average Score (SAT Reading),Average Score (SAT Writing),Percent White,Percent Black,Percent Hispanic,Percent Asian,Average Score,Total Score,Performance Above/Below Average (%),% Students with Disabilities,% English Language Learners,% Poverty,Economic Need Index
DREAMYARD PREPARATORY SCHOOL,General Academic,Common Core Algebra,-0.49309749502973815,English,-0.24221242000925644,40.84037,-73.91084,385.0,385.0,388.0,1.2%,33.6%,60.7%,1.5%,-0.7205798078805495,3.5603252770804557,-29.0,0.231,0.19,73.5%,86.9%
SCHOOL FOR EXCELLENCE,General Academic,Common Core Algebra,-1.8985572001145021,English,-0.057393637576136844,40.8276,-73.90448,377.0,385.0,383.0,1.0%,26.6%,70.8%,0.7%,-0.7991135033309806,2.26115065897838,-55.0,0.26,0.276,91.1%,89.0%
BRONX HIGH SCHOOL OF BUSINESS,General Academic,Common Core Algebra,-1.0027696957747632,English,-0.9286821833322697,40.84037,-73.91084,365.0,360.0,346.0,1.2%,33.3%,63.1%,1.5%,-1.2461514620488188,1.8386116588441483,-63.0,0.243,0.304,70.9%,86.6%
FREDERICK DOUGLASS ACADEMY III SECONDARY SCHOOL,General Academic,Common Core Algebra,-0.6320990043238355,English,-0.6514540096825903,40.83417,-73.90403,387.0,386.0,386.0,2.3%,50.4%,45.4%,0.7%,-0.7145387543843625,3.0181232316092115,-40.0,0.207,0.124,85.5%,89.1%
BRONX LEADERSHIP ACADEMY HIGH SCHOOL,General Academic,Common Core Algebra,-0.8174343500492993,English,-0.4666352272494726,40.84358,-73.90322,375.0,372.0,374.0,0.6%,35.7%,61.7%,0.4%,-0.9440987872394687,2.7880466354617592,-44.0,0.274,0.118,87.8%,84.1%
HIGH SCHOOL FOR VIOLIN AND DANCE,General Academic,Common Core Algebra,-0.8019897379055104,English,-1.311521089800872,40.8276,-73.90448,363.0,401.0,396.0,0.3%,34.1%,64.6%,0.5%,-0.7084977008881755,2.194206471405442,-56.0,0.245,0.15,92.4%,86.2%
BRONX ENGINEERING AND TECHNOLOGY ACADEMY,General Academic,Common Core Algebra,-0.8483235743368769,English,-1.1002996241630225,40.87705,-73.91234,394.0,406.0,391.0,1.4%,34.3%,55.9%,6.7%,-0.5212250425063785,2.546366758993722,-49.0,0.229,0.085,89.8%,76.8%
BRONX SCHOOL OF LAW AND FINANCE,General Academic,Common Core Algebra,0.5880253550354637,English,0.351847952097197,40.87705,-73.91234,384.0,394.0,366.0,2.6%,30.3%,64.8%,2.1%,-0.8051545568271676,5.150933750305493,3.0,0.246,0.13,81.0%,82.0%
HIGH SCHOOL FOR TEACHING AND THE PROFESSIONS,General Academic,Common Core Algebra,-0.6784328407552019,English,-1.1267023073677533,40.87038,-73.89816,372.0,361.0,369.0,2.7%,20.4%,74.5%,1.9%,-1.0588788036670218,2.152201048210023,-57.0,0.239,0.203,87.4%,83.4%
BELMONT PREPARATORY HIGH SCHOOL,General Academic,Common Core Algebra,-0.014314518572290939,English,0.1670291696640793,40.86001,-73.88823,413.0,408.0,402.0,1.9%,30.0%,65.6%,2.2%,-0.3279113306283944,4.841018320463394,-3.0,0.187,0.069,87.9%,74.2%
FORDHAM HIGH SCHOOL FOR THE ARTS,General Academic,Common Core Algebra,0.9586960464863913,English,-0.281816444816353,40.86001,-73.88823,398.0,404.0,412.0,2.5%,30.9%,65.1%,1.0%,-0.3822808120940774,5.310813789575961,6.0,0.195,0.013,88.7%,73.6%
BRONX HIGH SCHOOL FOR LAW AND COMMUNITY SERVICE,General Academic,Common Core Algebra,-0.33865137359185205,English,-1.0078902329464627,40.86001,-73.88823,401.0,402.0,386.0,1.8%,24.4%,70.9%,1.3%,-0.5333071494987525,3.1363662439629323,-37.0,0.273,0.115,88.3%,84.2%
DEWITT CLINTON HIGH SCHOOL,General Academic,Common Core Algebra,-0.21509447644154356,English,-0.361024494430546,40.88008,-73.8859,445.0,436.0,433.0,3.6%,31.6%,54.5%,8.6%,0.22182453752462294,4.661920566652533,-7.0,0.178,0.223,80.3%,77.1%
MARBLE HILL HIGH SCHOOL FOR INTERNATIONAL STUDIES,General Academic,Common Core Algebra,1.2675882893621635,English,0.5102640513255849,40.87705,-73.91234,451.0,417.0,423.0,5.1%,24.5%,61.0%,8.9%,0.08288030711232186,6.87694764780007,37.0,0.096,0.262,92.6%,80.8%
BRONX THEATRE HIGH SCHOOL,General Academic,Common Core Algebra,-0.060648355003657436,English,-0.677856692887322,40.87705,-73.91234,382.0,384.0,390.0,1.6%,30.1%,67.1%,0.5%,-0.7326619148729235,3.545048037236097,-29.0,0.24,0.097,85.6%,82.9%
DISCOVERY HIGH SCHOOL,General Academic,Common Core Algebra,1.7618158779633997,English,0.4970627097232201,40.87038,-73.89816,432.0,396.0,395.0,2.3%,17.4%,77.2%,2.5%,-0.3279113306283944,6.947182257058225,38.0,0.293,0.204,85.5%,80.1%
BRONX HEALTH SCIENCES HIGH SCHOOL,General Academic,Common Core Algebra,-0.6784328407552019,English,0.39145197690429356,40.87413,-73.8338,407.0,421.0,427.0,2.7%,51.9%,34.5%,7.5%,-0.13459761875041026,4.594636517398682,-8.0,0.114,0.051,72.7%,63.0%
HIGH SCHOOL OF COMPUTERS AND TECHNOLOGY,Career Technical,Common Core Algebra,0.4335792335975786,English,0.008613070435691319,40.87575,-73.86139,396.0,399.0,377.0,1.2%,34.4%,58.0%,4.9%,-0.6360050589339316,4.8224022450993385,-4.0,0.246,0.061,64.5%,74.6%
COLLEGIATE INSTITUTE FOR MATH AND SCIENCE,General Academic,Common Core Algebra,0.8814729857674481,English,0.8402975913847258,40.8597,-73.86074,488.0,461.0,458.0,9.5%,33.8%,43.5%,11.6%,0.7836425126700143,7.521628089822189,50.0,0.167,0.029,73.7%,64.0%
BRONX ACADEMY OF HEALTH CAREERS,General Academic,Common Core Algebra,-0.8792127986244536,English,-0.34782315282818116,40.87575,-73.86139,386.0,380.0,391.0,1.9%,44.7%,47.3%,4.7%,-0.7266208613767365,3.0625581871706284,-39.0,0.236,0.118,68.5%,78.0%
ASTOR COLLEGIATE ACADEMY,General Academic,Common Core Algebra,-0.1842052521539659,English,-0.11019900398560012,40.8597,-73.86074,422.0,417.0,409.0,10.5%,33.4%,47.9%,6.5%,-0.17688499322371928,4.544925750636715,-9.0,0.226,0.049,76.1%,63.5%
BRONX HIGH SCHOOL FOR THE VISUAL ARTS,General Academic,Common Core Algebra,-0.6938774528989908,English,-1.0870982825606568,40.85143,-73.86502,408.0,428.0,404.0,6.8%,27.3%,61.5%,3.7%,-0.2252134211932153,3.0100258433471367,-40.0,0.27,0.044,76.4%,69.2%
BRONXDALE HIGH SCHOOL,General Academic,Common Core Algebra,-0.8792127986244536,English,-1.456735847426894,40.8597,-73.86074,418.0,432.0,436.0,9.4%,28.8%,57.1%,3.0%,0.052675039631386845,2.732941393580039,-46.0,0.189,0.051,82.3%,71.5%
NEW WORLD HIGH SCHOOL,General Academic,Common Core Algebra,0.9432514343426035,English,1.0515190570225752,40.88792,-73.85287,407.0,363.0,358.0,7.6%,9.3%,66.2%,13.7%,-0.9018114127661597,6.109174078599018,22.0,0.056,0.624,Above 95%,91.5%
PELHAM PREPARATORY ACADEMY,General Academic,Common Core Algebra,-0.02975913071607977,English,0.5498680761326815,40.8597,-73.86074,420.0,433.0,425.0,6.5%,35.6%,48.9%,5.5%,0.004346611661890817,5.540670557078492,10.0,0.21,0.018,71.6%,59.8%
HIGH SCHOOL FOR CONTEMPORARY ARTS,General Academic,Common Core Algebra,-1.2189942657878035,English,-1.456735847426894,40.87575,-73.86139,367.0,381.0,361.0,1.0%,38.1%,59.2%,0.8%,-1.0165914291937128,1.3238934575915895,-74.0,0.291,0.085,70.6%,79.2%
BRONX AEROSPACE HIGH SCHOOL,General Academic,Common Core Algebra,-0.9564358593433966,English,-0.5986486432731289,40.87575,-73.86139,403.0,410.0,393.0,2.1%,29.2%,64.5%,2.3%,-0.43060924006357343,3.0305212573199007,-40.0,0.311,0.109,79.2%,74.9%
BRONX CAREER AND COLLEGE PREPARATORY HIGH SCHOOL,General Academic,Common Core Algebra,-0.5394313314611047,English,-1.4699371890292598,40.82776,-73.90039,370.0,379.0,381.0,0.6%,40.5%,56.8%,0.9%,-0.8897293057737857,2.1171171737358496,-58.0,0.294,0.155,86.1%,83.8%
BRONX ENVISION ACADEMY,General Academic,Common Core Algebra,-1.6205541815263076,English,0.37825063530192865,40.83594,-73.89047,364.0,385.0,366.0,2.0%,34.4%,60.3%,2.0%,-0.9803451082165907,2.79356634555903,-44.0,0.227,0.129,85.6%,81.3%
WINGS ACADEMY,General Academic,Common Core Algebra,-1.2344388779315922,English,-0.2158097368045248,40.84181,-73.87542,379.0,372.0,373.0,1.2%,58.5%,37.9%,0.8%,-0.9259756267509077,2.639990758512975,-47.0,0.254,0.042,80.0%,82.4%
BROOKLYN TECHNICAL HIGH SCHOOL,General Academic,Common Core Algebra,2.9510510130351233,English,2.2264384596331173,40.68811,-73.97675,682.0,608.0,606.0,20.5%,7.7%,7.6%,60.5%,3.737717672305459,13.931422144973698,178.0,0.016,0.0,61.7%,42.3%
ACORN COMMUNITY HIGH SCHOOL,General Academic,Common Core Algebra,-0.58576516789247,English,-1.2851184065961412,40.67851,-73.96207,379.0,395.0,385.0,1.6%,83.5%,12.9%,1.0%,-0.7145387543843625,2.4307926711270262,-52.0,0.29,0.038,84.7%,73.8%
PROGRESS HIGH SCHOOL FOR PROFESSIONAL CAREERS,General Academic,Common Core Algebra,-0.6166543921800477,English,-0.5062392520565691,40.71196,-73.94043,380.0,377.0,384.0,0.8%,35.1%,62.6%,1.0%,-0.8232777173157286,3.0700436384476544,-39.0,0.183,0.135,85.8%,77.1%
BROOKLYN PREPARATORY HIGH SCHOOL,General Academic,Common Core Algebra,0.232799275728326,English,0.07461977844751948,40.71504,-73.95465,391.0,406.0,391.0,2.0%,54.7%,40.3%,2.4%,-0.5393482029949395,4.784285851180906,-5.0,0.162,0.021,80.1%,63.8%
WILLIAMSBURG PREPARATORY SCHOOL,General Academic,Common Core Algebra,0.5880253550354637,English,-0.4534338856471058,40.71504,-73.95465,443.0,440.0,430.0,10.0%,16.4%,69.6%,2.6%,0.21578348402843595,5.366589953416794,7.0,0.168,0.032,82.9%,65.8%
AUTOMOTIVE HIGH SCHOOL,Career Technical,Common Core Algebra,-0.9101020229120311,English,-1.9979908531238852,40.72264,-73.95258,367.0,381.0,328.0,2.9%,55.9%,38.1%,1.6%,-1.2159461945678838,0.8921759293961999,-82.0,,,,
FRANCES PERKINS ACADEMY,General Academic,Common Core Algebra,0.6652484157544067,English,-0.6646553512849571,40.72264,-73.95258,399.0,413.0,400.0,2.1%,62.7%,32.4%,0.7%,-0.3943629190864514,4.622445145382998,-8.0,,,,
SECONDARY SCHOOL FOR JOURNALISM,General Academic,Common Core Algebra,-1.1726604293564369,English,0.6818814921563379,40.6696,-73.97926,408.0,435.0,415.0,6.3%,46.7%,37.5%,7.4%,-0.11647445826184925,4.408961604538051,-12.0,,,,
COBBLE HILL SCHOOL OF AMERICAN STUDIES,General Academic,Common Core Algebra,0.03201931785907446,English,-0.8230714505133432,40.68458,-73.99109,416.0,420.0,402.0,4.4%,63.8%,25.0%,4.5%,-0.23729552818558933,3.987867339160142,-21.0,0.205,0.07,85.9%,70.7%
SUNSET PARK HIGH SCHOOL,General Academic,Common Core Algebra,0.8196945371922929,English,0.14062648645934764,40.65595,-74.0055,398.0,380.0,381.0,6.8%,8.5%,77.3%,7.3%,-0.7145387543843625,5.261997269267278,5.0,0.216,0.148,80.4%,75.4%
BOYS AND GIRLS HIGH SCHOOL,General Academic,Common Core Algebra,-0.9101020229120311,English,-0.2158097368045248,40.67943,-73.93243,399.0,392.0,394.0,1.7%,87.2%,8.6%,0.9%,-0.5574713634835005,3.3328318767999434,-34.0,0.345,0.042,79.9%,78.2%
BROOKLYN HIGH SCHOOL FOR LAW AND TECHNOLOGY,General Academic,Common Core Algebra,-0.4622082707421616,English,0.021814412038056202,40.68893,-73.92108,395.0,401.0,383.0,1.2%,71.1%,23.8%,2.5%,-0.5937176844606226,3.982103456835272,-21.0,0.208,0.032,79.5%,72.3%
ACADEMY OF HOSPITALITY AND TOURISM,General Academic,Common Core Algebra,-1.5433311208073646,English,-0.4666352272494726,40.64944,-73.95843,374.0,385.0,375.0,1.1%,84.6%,10.2%,3.5%,-0.8655650917890376,2.140683560154125,-57.0,0.259,0.17,90.2%,71.6%
HIGH SCHOOL FOR PUBLIC SERVICE: HEROES OF TOMORROW,General Academic,Common Core Algebra,0.03201931785907446,English,1.8039955283574165,40.65952,-73.94255,468.0,454.0,464.0,1.1%,75.8%,17.4%,5.3%,0.6567803892500872,7.509010235466578,50.0,0.12,0.013,78.6%,59.7%
BROOKLYN ACADEMY OF SCIENCE AND THE ENVIRONMENT,General Academic,Common Core Algebra,-0.44676365859837275,English,-0.4534338856471058,40.6703,-73.96165,419.0,411.0,416.0,1.3%,80.1%,12.6%,5.3%,-0.18896710021609328,3.927050355538428,-22.0,0.183,0.068,81.0%,66.5%
CLARA BARTON HIGH SCHOOL,Career Technical,Common Core Algebra,-1.0954373686374939,English,-1.9847895115215193,40.67027,-73.96165,408.0,424.0,407.0,0.9%,89.5%,5.7%,1.8%,-0.2312544746894023,1.7047336451515847,-66.0,0.181,0.085,79.6%,62.7%
ACADEMY FOR HEALTH CAREERS,Career Technical,Common Core Algebra,-0.9101020229120311,English,-0.9682862081393663,40.6754,-73.93888,406.0,405.0,396.0,0.8%,85.5%,8.8%,1.6%,-0.42456818656738643,2.7132585823812163,-46.0,0.16,0.05,79.3%,73.6%
IT TAKES A VILLAGE ACADEMY,General Academic,Common Core Algebra,0.10924237857801752,English,-0.13660168719033178,40.64866,-73.9219,364.0,374.0,361.0,1.1%,90.3%,5.7%,0.5%,-1.0770019641555828,3.911853727232103,-22.0,0.127,0.138,69.1%,67.6%
BROOKLYN GENERATION SCHOOL,General Academic,Common Core Algebra,-0.33865137359185205,English,0.4310560017113919,40.63263,-73.9178,392.0,406.0,403.0,1.4%,85.0%,8.7%,1.7%,-0.4608145075445084,4.647805120575032,-7.0,,,,
BROOKLYN THEATRE ARTS HIGH SCHOOL,General Academic,Common Core Algebra,-0.3077621493042755,English,-1.139903648970119,40.63263,-73.9178,379.0,393.0,373.0,1.8%,82.0%,13.2%,0.5%,-0.7991135033309806,2.7694356983946244,-45.0,0.155,0.024,81.3%,69.2%
CULTURAL ACADEMY FOR THE ARTS AND SCIENCES,General Academic,Common Core Algebra,-0.8019897379055104,English,-0.34782315282818116,40.64866,-73.9219,382.0,395.0,384.0,0.6%,90.4%,8.5%,0.6%,-0.7024566473919885,3.1639454618743197,-37.0,0.243,0.065,69.2%,59.1%
ACADEMY FOR CONSERVATION AND THE ENVIRONMENT,General Academic,Common Core Algebra,-0.43131904645458397,English,-1.1002996241630225,40.63263,-73.9178,381.0,397.0,390.0,1.3%,86.0%,9.7%,1.6%,-0.6601692729186796,2.8244270564637137,-44.0,0.195,0.089,82.9%,66.6%
URBAN ACTION ACADEMY,General Academic,Common Core Algebra,-1.58966495723873,English,-0.37422583603291276,40.64184,-73.89869,362.0,396.0,393.0,4.2%,79.0%,12.3%,2.9%,-0.7628671823538586,2.2894570243744985,-54.0,0.225,0.109,73.4%,64.9%
HIGH SCHOOL FOR CIVIL RIGHTS,General Academic,Common Core Algebra,-1.0799927564937062,English,-3.1069035477225984,40.66755,-73.8948,391.0,373.0,376.0,1.9%,74.0%,22.9%,0.3%,-0.8293187708119156,-7.502822008120802e-08,-100.0,0.239,0.061,71.7%,76.4%
ACADEMY OF INNOVATIVE TECHNOLOGY,Career Technical,Common Core Algebra,-0.6166543921800477,English,-0.18940705359979318,40.69114,-73.86843,395.0,376.0,359.0,1.2%,45.5%,45.5%,5.3%,-0.8897293057737857,3.3204242484463733,-34.0,0.246,0.081,82.5%,70.7%
BROOKLYN LAB SCHOOL,General Academic,Common Core Algebra,-0.9873250836309743,English,-2.420433784399586,40.69114,-73.86843,383.0,376.0,370.0,0.9%,35.6%,56.9%,5.4%,-0.8957703592699727,0.7126857726994666,-86.0,0.233,0.133,78.2%,79.6%
CYPRESS HILLS COLLEGIATE PREPARATORY SCHOOL,General Academic,Common Core Algebra,-1.0336589200623396,English,-0.8362727921157099,40.69114,-73.86843,365.0,370.0,362.0,3.3%,19.7%,71.2%,4.5%,-1.0890840711479568,2.057199216673993,-59.0,0.181,0.181,84.1%,78.1%
NEW UTRECHT HIGH SCHOOL,General Academic,Common Core Algebra,0.3718007850224244,English,-0.7042593760920536,40.61342,-74.00365,488.0,422.0,417.0,27.6%,4.0%,29.0%,38.6%,0.300358232975054,4.984114641905425,-1.0,0.161,0.192,75.7%,69.5%
FORT HAMILTON HIGH SCHOOL,General Academic,Common Core Algebra,0.8196945371922929,English,1.077921740227307,40.62791,-74.03995,513.0,456.0,451.0,34.1%,4.5%,29.2%,30.1%,0.8621762081204453,7.776007485540045,55.0,0.145,0.152,69.9%,64.4%
FRANKLIN DELANO ROOSEVELT HIGH SCHOOL,General Academic,Common Core Algebra,0.5262469064603106,English,0.3650492936995638,40.62026,-73.98201,504.0,411.0,407.0,18.6%,11.5%,29.3%,40.1%,0.270152965494119,6.177664165653994,23.0,0.141,0.322,78.2%,77.5%
RACHEL CARSON HIGH SCHOOL FOR COASTAL STUDIES,General Academic,Common Core Algebra,0.5262469064603106,English,-0.24221242000925644,40.58212,-73.97289,436.0,430.0,421.0,43.6%,22.5%,22.3%,10.2%,0.058716093127573844,5.358965579578628,7.0,0.199,0.103,49.5%,62.9%
HIGH SCHOOL OF SPORTS MANAGEMENT,General Academic,Common Core Algebra,-0.7247666771865674,English,-1.1002996241630225,40.59359,-73.98473,367.0,374.0,361.0,5.5%,72.4%,16.9%,3.8%,-1.0588788036670218,2.1322698949833883,-57.0,0.21,0.031,77.1%,71.5%
ABRAHAM LINCOLN HIGH SCHOOL,General Academic,Common Core Algebra,-0.7247666771865674,English,-2.1432056107499076,40.58231,-73.96747,441.0,422.0,422.0,20.1%,39.8%,23.7%,15.1%,0.04663398613519984,2.1948766981987244,-56.0,0.165,0.145,69.4%,70.2%
EDWARD R. MURROW HIGH SCHOOL,General Academic,Common Core Algebra,0.5571361307478881,English,1.143928448239135,40.6205,-73.95923,500.0,479.0,472.0,26.7%,22.6%,21.7%,26.6%,1.0494488665022423,7.7667284454892656,55.0,0.18,0.069,61.8%,53.0%
JOHN DEWEY HIGH SCHOOL,General Academic,Common Core Algebra,-0.12242680357881167,English,-0.6514540096825903,40.58924,-73.98175,512.0,418.0,396.0,13.7%,28.6%,20.7%,35.8%,0.294317179478867,4.536651366217465,-10.0,0.133,0.192,78.9%,70.1%
MIDWOOD HIGH SCHOOL,General Academic,Common Core Algebra,0.6806930278981966,English,1.1175257650344033,40.63334,-73.95292,550.0,514.0,516.0,23.3%,29.8%,12.5%,33.7%,1.8287447675103659,8.643178560442966,72.0,0.077,0.028,52.8%,50.9%
JAMES MADISON HIGH SCHOOL,General Academic,Common Core Algebra,0.10924237857801752,English,0.4970627097232201,40.60976,-73.94845,492.0,450.0,444.0,44.3%,17.4%,16.7%,21.2%,0.6567803892500872,6.279300477551325,25.0,0.143,0.104,76.2%,55.2%
LEON M. GOLDSTEIN HIGH SCHOOL FOR THE SCIENCES,General Academic,Common Core Algebra,1.236699065074586,English,1.8171968699597834,40.58085,-73.93609,563.0,534.0,543.0,59.1%,10.2%,10.6%,18.7%,2.1912079772815862,10.261318912315955,105.0,0.138,0.007,43.8%,36.7%
FREDERICK DOUGLASS ACADEMY VII HIGH SCHOOL,General Academic,Common Core Algebra,-1.1572158172126492,English,-1.1663063321748508,40.66581,-73.9117,400.0,407.0,394.0,0.3%,88.1%,11.3%,0.0%,-0.4608145075445084,2.2318783430679914,-56.0,0.286,0.032,90.1%,71.0%
ACADEMY OF FINANCE AND ENTERPRISE,General Academic,Common Core Algebra,1.0976975557804898,English,1.0119150322154786,40.74509,-73.93681,489.0,456.0,459.0,15.3%,7.1%,51.9%,22.0%,0.7655193521814533,7.891346940177422,57.0,0.117,0.047,81.1%,53.9%
HIGH SCHOOL OF APPLIED COMMUNICATION,General Academic,Common Core Algebra,0.24824388787211482,English,1.077921740227307,40.74509,-73.93681,435.0,437.0,441.0,13.5%,12.6%,54.4%,15.9%,0.21578348402843595,6.558164112127858,31.0,0.155,0.069,75.2%,51.5%
NEWTOWN HIGH SCHOOL,General Academic,Common Core Algebra,-0.060648355003657436,English,-0.8758768169228064,40.74121,-73.87473,434.0,401.0,389.0,4.3%,8.3%,61.4%,24.0%,-0.32187027713220734,3.7578195509413286,-25.0,0.13,0.23,72.0%,66.3%
GROVER CLEVELAND HIGH SCHOOL,General Academic,Common Core Algebra,-0.5239867193173159,English,-0.3874271776352777,40.71122,-73.90865,452.0,422.0,416.0,18.9%,4.5%,65.7%,9.7%,0.07683925361613486,4.181640356663541,-17.0,0.173,0.186,70.2%,65.7%
HIGH SCHOOL FOR ARTS AND BUSINESS,General Academic,Common Core Algebra,0.6652484157544067,English,-0.24221242000925644,40.73742,-73.85331,413.0,405.0,393.0,4.1%,7.8%,77.2%,10.2%,-0.40040397258263843,5.0388470231625115,0.0,0.156,0.068,55.8%,61.1%
MASPETH HIGH SCHOOL,General Academic,Common Core Algebra,0.31002233644726906,English,1.302344547467523,40.72954,-73.88739,476.0,471.0,480.0,35.8%,2.0%,44.6%,17.5%,0.9044635825937544,7.533045466508547,50.0,0.129,0.01,67.7%,39.3%
JOHN BOWNE HIGH SCHOOL,General Academic,Common Core Algebra,-0.10698219143502284,English,0.8402975913847258,40.7387,-73.82479,467.0,422.0,425.0,4.5%,18.4%,46.0%,29.4%,0.22182453752462294,5.9713549374743256,19.0,0.144,0.17,73.2%,61.2%
FLUSHING HIGH SCHOOL,General Academic,Common Core Algebra,-0.508542107173527,English,-0.34782315282818116,40.76524,-73.82786,444.0,407.0,405.0,3.7%,23.7%,51.1%,20.3%,-0.12855656525422327,4.031293174744068,-20.0,0.142,0.204,68.6%,63.4%
ROBERT F. KENNEDY COMMUNITY HIGH SCHOOL,General Academic,Common Core Algebra,0.44902384574136744,English,0.6290761257468764,40.7256,-73.81072,460.0,426.0,423.0,18.3%,13.0%,35.5%,31.2%,0.19161927004368792,6.2859342415319315,25.0,0.169,0.114,77.8%,58.6%
