NTA Code,NTA Name,the_geom,the_geom_webmercator,facname,addressnum,streetname,address,city,zipcode,factype,facsubgrp,facgroup,facdomain,servarea,opname,opabbrev,optype,overagency,overabbrev,overlevel,capacity,captype,boro,bin,bbl,latitude,longitude,xcoord,ycoord,cd,nta2010,nta2020,council,ct2010,ct2020,borocode,schooldist,policeprct,datasource,uid,SCHOOL NAME,DBN,School Name,Year,Total Enrollment,Grade 9,Grade 10,Grade 11,Grade 12,# Female,% Female,# Male,% Male,# Asian,% Asian,# Black,% Black,# Hispanic,% Hispanic,# Multiple Race Categories Not Represented,% Multiple Race Categories Not Represented,# White,% White,# Students with Disabilities,% Students with Disabilities,# English Language Learners,% English Language Learners,# Poverty,% Poverty,Economic Need Index
MN21,Gramercy,0101000020E6100000F12ECA602C7F52C0AB055DAB1E5E4440,0101000020110F0000A7CE591E2B6B5FC16812A688D0F85241,THE HIGH SCHOOL FOR LANGUAGE AND DIPLOMACY,40,IRVING PLACE,40 IRVING PLACE,NEW YORK,10003.0,HIGH SCHOOL - PUBLIC,PUBLIC K-12 SCHOOLS,SCHOOLS (K-12),"EDUCATION, CHILD WELFARE, AND YOUTH",Local,NYC Department of Education,NYCDOE,Public,NYC Department of Education,NYCDOE,City,429.0,seats,MANHATTAN,1017828.0,1008720057.0,40.7353192172,-73.9870850667,987829.166215,207173.473929,106.0,MN21,MN0602,2.0,5000.0,5000.0,1.0,2.0,13.0,doe_lcgms,569e1421e1c2de5da6e32233cd5b19ee,THE HIGH SCHOOL FOR LANGUAGE AND DIPLOMACY,02M399,THE HIGH SCHOOL FOR LANGUAGE AND DIPLOMACY,2016.0,443.0,104.0,127.0,105.0,107.0,245.0,0.553,198.0,0.447,138.0,0.312,82.0,0.185,193.0,0.436,9.0,0.02,21.0,0.047,78.0,0.176,45.0,0.102,373,0.8420000000000001,0.715
MN21,Gramercy,0101000020E6100000CBA8AE9DE27E52C05005CBB8C75D4440,0101000020110F000069157ED3AD6A5FC11558BE146FF85241,HIGH SCHOOL FOR HEALTH PROFESSIONS AND HUMAN SERVICES,345,EAST 15 STREET,345 EAST 15 STREET,NEW YORK,10003.0,HIGH SCHOOL - PUBLIC,PUBLIC K-12 SCHOOLS,SCHOOLS (K-12),"EDUCATION, CHILD WELFARE, AND YOUTH",Local,NYC Department of Education,NYCDOE,Public,NYC Department of Education,NYCDOE,City,1276.0,seats,MANHATTAN,1020419.0,1009220008.0,40.7326657879,-73.9825829825,989077.038687,206206.962375,106.0,MN21,MN0602,2.0,4800.0,4800.0,1.0,2.0,13.0,doe_lcgms,9133cbb4eb43c38e53d5a13b8fef5dc2,HIGH SCHOOL FOR HEALTH PROFESSIONS AND HUMAN SERVICES,02M420,HIGH SCHOOL FOR HEALTH PROFESSIONS AND HUMAN SERVI,2016.0,1700.0,511.0,483.0,375.0,331.0,1195.0,0.703,505.0,0.297,351.0,0.206,308.0,0.181,901.0,0.53,14.0,0.008,126.0,0.074,221.0,0.13,107.0,0.063,1098,0.6459999999999999,0.674
MN21,Gramercy,0101000020E6100000F12ECA602C7F52C0AB055DAB1E5E4440,0101000020110F0000A7CE591E2B6B5FC16812A688D0F85241,INTERNATIONAL HIGH SCHOOL AT UNION SQUARE,40,IRVING PLACE,40 IRVING PLACE,NEW YORK,10003.0,HIGH SCHOOL - PUBLIC,PUBLIC K-12 SCHOOLS,SCHOOLS (K-12),"EDUCATION, CHILD WELFARE, AND YOUTH",Local,NYC Department of Education,NYCDOE,Public,NYC Department of Education,NYCDOE,City,502.0,seats,MANHATTAN,1017828.0,1008720057.0,40.7353192172,-73.9870850667,987829.166215,207173.473929,106.0,MN21,MN0602,2.0,5000.0,5000.0,1.0,2.0,13.0,doe_lcgms,db3ca026667d9adc3c56e956d3f99efc,INTERNATIONAL HIGH SCHOOL AT UNION SQUARE,02M438,INTERNATIONAL HIGH SCHOOL AT UNION SQUARE,2016.0,356.0,66.0,91.0,95.0,104.0,163.0,0.458,193.0,0.542,94.0,0.264,54.0,0.152,172.0,0.483,0.0,0.0,36.0,0.101,13.0,0.037,297.0,0.834,318,0.893,0.941
MN21,Gramercy,0101000020E61000008EC25312FF7E52C0ADE15454C85D4440,0101000020110F000000E93129DE6A5FC1633612C36FF85241,MANHATTAN COMPREHENSIVE NIGHT AND DAY HIGH SCHOOL,240,2 AVENUE,240 2 AVENUE,NEW YORK,10003.0,HIGH SCHOOL - PUBLIC,PUBLIC K-12 SCHOOLS,SCHOOLS (K-12),"EDUCATION, CHILD WELFARE, AND YOUTH",Local,NYC Department of Education,NYCDOE,Public,NYC Department of Education,NYCDOE,City,474.0,seats,MANHATTAN,1020416.0,1009210064.0,40.7326843296,-73.9843197769,988595.693662,206213.626764,106.0,MN21,MN0602,2.0,4800.0,4800.0,1.0,2.0,13.0,doe_lcgms,7fa80844b30ab7ffe7c6ec4a03a63a97,MANHATTAN COMPREHENSIVE NIGHT AND DAY HIGH SCHOOL,02M575,MANHATTAN COMPREHENSIVE NIGHT AND DAY HIGH SCHOOL,2016.0,745.0,1.0,253.0,258.0,233.0,346.0,0.464,399.0,0.536,175.0,0.235,223.0,0.299,294.0,0.395,10.0,0.013,43.0,0.058,48.0,0.064,363.0,0.487,661,0.887,0.792
MN22,East Village,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0
MN23,West Village,0101000020E61000000662B6B8887F52C0384E9F25695D4440,0101000020110F0000F06623F9C76B5FC16017731505F85241,HARVEY MILK HIGH SCHOOL,2,ASTOR PLACE,2 ASTOR PLACE,NEW YORK,10003.0,HIGH SCHOOL - PUBLIC,PUBLIC K-12 SCHOOLS,SCHOOLS (K-12),"EDUCATION, CHILD WELFARE, AND YOUTH",Local,NYC Department of Education,NYCDOE,Public,NYC Department of Education,NYCDOE,City,131.0,seats,MANHATTAN,1080092.0,1005450026.0,40.7297795912,-73.9927212663,986267.351765,205155.03465,102.0,MN23,MN0202,2.0,5700.0,5700.0,1.0,2.0,9.0,doe_lcgms,812ae2057198248f49407a3ca611cf71,HARVEY MILK HIGH SCHOOL,02M586,HARVEY MILK HIGH SCHOOL,2016.0,61.0,8.0,10.0,15.0,28.0,31.0,0.508,30.0,0.492,2.0,0.033,22.0,0.361,32.0,0.525,0.0,0.0,5.0,0.082,26.0,0.426,3.0,0.049,50,0.82,0.767
MN24,SoHo-TriBeCa-Civic Center-Little Italy,0101000020E61000000B8CF87A528052C02B027411C15C4440,0101000020110F000058BD4CAE1E6D5FC136806CB748F75241,NYC ISCHOOL,131,AVENUE OF THE AMERICAS,131 AVENUE OF THE AMERICAS,NEW YORK,10013.0,HIGH SCHOOL - PUBLIC,PUBLIC K-12 SCHOOLS,SCHOOLS (K-12),"EDUCATION, CHILD WELFARE, AND YOUTH",Local,NYC Department of Education,NYCDOE,Public,NYC Department of Education,NYCDOE,City,538.0,seats,MANHATTAN,1007378.0,1004910016.0,40.7246502316,-74.0050356496,982854.227178,203286.205984,102.0,MN24,MN0201,3.0,3700.0,3700.0,1.0,2.0,1.0,doe_lcgms,a090bcea4e975f180750a1fefac0b9f5,NYC ISCHOOL,02M376,NYC ISCHOOL,2016.0,457.0,127.0,116.0,106.0,108.0,257.0,0.562,200.0,0.438,33.0,0.072,87.0,0.19,168.0,0.368,27.0,0.059,142.0,0.311,68.0,0.149,2.0,0.004,194,0.425,0.41
MN24,SoHo-TriBeCa-Civic Center-Little Italy,0101000020E61000000B8CF87A528052C02B027411C15C4440,0101000020110F000058BD4CAE1E6D5FC136806CB748F75241,CHELSEA CAREER AND TECHNICAL EDUCATION HIGH SCHOOL,131,AVENUE OF THE AMERICAS,131 AVENUE OF THE AMERICAS,NEW YORK,10013.0,HIGH SCHOOL - PUBLIC,PUBLIC K-12 SCHOOLS,SCHOOLS (K-12),"EDUCATION, CHILD WELFARE, AND YOUTH",Local,NYC Department of Education,NYCDOE,Public,NYC Department of Education,NYCDOE,City,566.0,seats,MANHATTAN,1007378.0,1004910016.0,40.7246502316,-74.0050356496,982854.227178,203286.205984,102.0,MN24,MN0201,3.0,3700.0,3700.0,1.0,2.0,1.0,doe_lcgms,586ced5fe2e090320b5df8f81bbb7947,CHELSEA CAREER AND TECHNICAL EDUCATION HIGH SCHOOL,02M615,CHELSEA CAREER AND TECHNICAL EDUCATION HIGH SCHOOL,2016.0,435.0,149.0,105.0,92.0,89.0,164.0,0.377,271.0,0.623,45.0,0.103,116.0,0.267,247.0,0.568,11.0,0.025,16.0,0.037,82.0,0.189,7.0,0.016,377,0.867,0.713
MN25,Battery Park City-Lower Manhattan,0101000020E610000059AD801ED38052C09E3674924B5A4440,0101000020110F0000B4FFD12FF96D5FC154DB2D5D87F45241,"URBAN ASSEMBLY SCHOOL OF BUSINESS FOR YOUNG WOMEN, THE",26,BROADWAY,26 BROADWAY,NEW YORK,10004.0,HIGH SCHOOL - PUBLIC,PUBLIC K-12 SCHOOLS,SCHOOLS (K-12),"EDUCATION, CHILD WELFARE, AND YOUTH",Local,NYC Department of Education,NYCDOE,Public,NYC Department of Education,NYCDOE,City,528.0,seats,MANHATTAN,1000811.0,1000220013.0,40.705439532,-74.012887141,980676.934452,196287.385733,101.0,MN25,MN0101,1.0,900.0,900.0,1.0,2.0,1.0,doe_lcgms,c12e4c347503509e631fa4589821f831,"URBAN ASSEMBLY SCHOOL OF BUSINESS FOR YOUNG WOMEN, THE",02M316,"URBAN ASSEMBLY SCHOOL OF BUSINESS FOR YOUNG WOMEN,",2016.0,359.0,117.0,91.0,67.0,84.0,359.0,1.0,0.0,0.0,12.0,0.033,196.0,0.546,127.0,0.354,15.0,0.042,9.0,0.025,72.0,0.201,18.0,0.05,301,0.838,0.701
MN25,Battery Park City-Lower Manhattan,0101000020E6100000B27B1C02B88052C0B1FD8FE4325A4440,0101000020110F000015FDDD22CB6D5FC1047705B76BF45241,MILLENNIUM HIGH SCHOOL,75,BROAD STREET,75 BROAD STREET,NEW YORK,10004.0,HIGH SCHOOL - PUBLIC,PUBLIC K-12 SCHOOLS,SCHOOLS (K-12),"EDUCATION, CHILD WELFARE, AND YOUTH",Local,NYC Department of Education,NYCDOE,Public,NYC Department of Education,NYCDOE,City,520.0,seats,MANHATTAN,1000849.0,1000290070.0,40.7046863796,-74.0112324218,981135.683724,196012.926572,101.0,MN25,MN0101,1.0,900.0,900.0,1.0,2.0,1.0,doe_lcgms,242711a26f40aad0b0da8b67c4d0ea97,MILLENNIUM HIGH SCHOOL,02M418,MILLENNIUM HIGH SCHOOL,2016.0,641.0,140.0,186.0,144.0,171.0,416.0,0.649,225.0,0.351,257.0,0.401,42.0,0.066,119.0,0.186,25.0,0.039,198.0,0.309,68.0,0.106,5.0,0.008,287,0.44799999999999995,0.401
MN25,Battery Park City-Lower Manhattan,0101000020E6100000018F3655CC8052C0E6136E73BF5A4440,0101000020110F00005EF6DBA8ED6D5FC1AF3DF93009F55241,LEADERSHIP AND PUBLIC SERVICE HIGH SCHOOL,90,TRINITY PLACE,90 TRINITY PLACE,NEW YORK,10006.0,HIGH SCHOOL - PUBLIC,PUBLIC K-12 SCHOOLS,SCHOOLS (K-12),"EDUCATION, CHILD WELFARE, AND YOUTH",Local,NYC Department of Education,NYCDOE,Public,NYC Department of Education,NYCDOE,City,767.0,seats,MANHATTAN,1001035.0,1000510015.0,40.7089758734,-74.0124729394,980791.958697,197575.764664,101.0,MN25,MN0101,1.0,1300.0,1300.0,1.0,2.0,1.0,doe_lcgms,5c5ffb3b47af4d4ad957c4f5184d2fbe,LEADERSHIP AND PUBLIC SERVICE HIGH SCHOOL,02M425,LEADERSHIP AND PUBLIC SERVICE HIGH SCHOOL,2016.0,684.0,223.0,119.0,173.0,169.0,395.0,0.577,289.0,0.423,35.0,0.051,189.0,0.276,421.0,0.615,16.0,0.023,23.0,0.034,133.0,0.194,45.0,0.066,510,0.746,0.7490000000000001
MN25,Battery Park City-Lower Manhattan,0101000020E6100000A5D8F185E28052C058F0EF75E75B4440,0101000020110F0000914A275A136E5FC1B6BC11DD54F65241,STUYVESANT HIGH SCHOOL,345,CHAMBERS STREET,345 CHAMBERS STREET,NEW YORK,10282.0,HIGH SCHOOL - PUBLIC,PUBLIC K-12 SCHOOLS,SCHOOLS (K-12),"EDUCATION, CHILD WELFARE, AND YOUTH",Local,NYC Department of Education,NYCDOE,Public,NYC Department of Education,NYCDOE,City,2941.0,seats,MANHATTAN,1084587.0,1000160215.0,40.7180093769,-74.0138273315,980416.981799,200867.000731,101.0,MN25,MN0101,1.0,31703.0,31703.0,1.0,2.0,1.0,doe_lcgms,b576296ac674e4016fbf46a8582b9413,STUYVESANT HIGH SCHOOL,02M475,STUYVESANT HIGH SCHOOL,2016.0,3327.0,841.0,842.0,842.0,802.0,1419.0,0.427,1908.0,0.573,2443.0,0.734,20.0,0.006,88.0,0.026,142.0,0.043,634.0,0.191,18.0,0.005,0.0,0.0,1434,0.431,0.32
MN25,Battery Park City-Lower Manhattan,0101000020E6100000FF52493DCA8052C0E78390BCC95A4440,0101000020110F00005DA7881AEA6D5FC1B7D725B714F55241,HIGH SCHOOL OF ECONOMICS AND FINANCE,100,TRINITY PLACE,100 TRINITY PLACE,NEW YORK,10006.0,HIGH SCHOOL - PUBLIC,PUBLIC K-12 SCHOOLS,SCHOOLS (K-12),"EDUCATION, CHILD WELFARE, AND YOUTH",Local,NYC Department of Education,NYCDOE,Public,NYC Department of Education,NYCDOE,City,814.0,seats,MANHATTAN,1001037.0,1000520001.0,40.7092897666,-74.0123451645,980827.399573,197690.120386,101.0,MN25,MN0101,1.0,1300.0,1300.0,1.0,2.0,1.0,doe_lcgms,cef1a19263ae4747f5d3c2c4c10b4305,HIGH SCHOOL OF ECONOMICS AND FINANCE,02M489,HIGH SCHOOL OF ECONOMICS AND FINANCE,2016.0,761.0,220.0,215.0,159.0,167.0,309.0,0.406,452.0,0.594,169.0,0.222,168.0,0.221,359.0,0.472,7.0,0.009,58.0,0.076,139.0,0.183,39.0,0.051,586,0.77,0.65
MN25,Battery Park City-Lower Manhattan,0101000020E610000059AD801ED38052C09E3674924B5A4440,0101000020110F0000B4FFD12FF96D5FC154DB2D5D87F45241,RICHARD R. GREEN HIGH SCHOOL OF TEACHING,7,BEAVER STREET,7 BEAVER STREET,NEW YORK,10004.0,HIGH SCHOOL - PUBLIC,PUBLIC K-12 SCHOOLS,SCHOOLS (K-12),"EDUCATION, CHILD WELFARE, AND YOUTH",Local,NYC Department of Education,NYCDOE,Public,NYC Department of Education,NYCDOE,City,589.0,seats,MANHATTAN,1000811.0,1000220013.0,40.705439532,-74.012887141,980676.934452,196287.385733,101.0,MN25,MN0101,1.0,900.0,900.0,1.0,2.0,1.0,doe_lcgms,fcd795a23481a548f44bdb9daf221c2a,RICHARD R. GREEN HIGH SCHOOL OF TEACHING,02M580,RICHARD R. GREEN HIGH SCHOOL OF TEACHING,2016.0,532.0,199.0,166.0,89.0,78.0,368.0,0.692,164.0,0.308,38.0,0.071,166.0,0.312,307.0,0.577,9.0,0.017,12.0,0.023,119.0,0.224,25.0,0.047,437,0.821,0.7759999999999999
